236;Albanija;Albania;Republika Albanija;Republic of Albania (the);008;;True;;;;;;;
237;Alžir;Algeria;Alžirska Narodna DemokratskaRepublika;People’s Democratic Republic of Algeria (the);012;;True;;;;;;;
238;Andora;Andorra;Kneževina Andora;Principality of Andorra (the);020;;True;;;;;;;
239;Angola;Angola;Republika Angola;Republic of Angola (the);024;;True;;;;;;;
240;Antigva i Barbuda;Antigua and Barbuda;Antigva i Barbuda;Antigua and Barbuda;028;;True;;;;;;;
241;Argentina;Argentina;Argentinska Republika;Argentine Republic (the);032;;True;;;;;;;
242;Armenija;Armenia;Republika Armenija;Republic of Armenia (the);051;;True;;;;;;;
243;Australija;Australia;Australija;Australia;036;;True;;;;;;;
244;Austrija;Austria;Republika Austrija;Republic of Austria (the);040;;True;;;;;;;
245;Azerbajdžan;Azerbaijan;Azerbajdžanska Republika;Azerbaijani Republic;031;;True;;;;;;;
246;Bahami;Bahamas (the);Zajednica Bahama;Commonwealth of the Bahamas (the);044;;True;;;;;;;
247;Bahrein;Bahrain;Kraljevina Bahrein;Kingdom of Bahrain (the);048;;True;;;;;;;
248;Bangladeš;Bangladesh;Narodna Republika Bangladeš;People’s Republic of Bangladesh (the);050;;True;;;;;;;
249;Barbados;Barbados;Barbados;Barbados;052;;True;;;;;;;
250;Belgija;Belgium;Kraljevina Belgija;Kingdom of Belgium (the);056;;True;;;;;;;
251;Belize;Belize;Belize;Belize;084;;True;;;;;;;
252;Benin;Benin;Republika Benin;Republic of Benin (the);204;;True;;;;;;;
253;Bjelorusija;Belarus;Republika Bjelarus;Republic of Belarus (the);112;;True;;;;;;;
254;Bocvana;Botswana;Republika Bocvana;Republic of Botswana (the);072;;True;;;;;;;
255;Bolivija;Bolivia;Republika Bolivija;Republic of Bolivia (the);068;;True;;;;;;;
256;Bosna i Hercegovina;Bosnia and Herzegovina;Bosna i Hercegovina;Bosnia and Herzegovina;070;;True;;;;;;;
257;Brazil;Brazil;Savezna Republika Brazil;Federative Republic of Brazil (the);076;;True;;;;;;;
258;Brunej Darussalam;Brunej Darussalam;Brunej Darussalam;Brunei Darussalam;096;;True;;;;;;;
259;Bugarska;Bulgaria;Republika Bugarska;Republic of Bulgaria (the);100;;True;;;;;;;
260;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;854;;True;;;;;;;
261;Burundi;Burundi;Republika Burundi;Republic of Burundi(the);108;;True;;;;;;;
262;Butan;Bhutan;Kraljevina Butan;Kingdom of Bhutan (the);064;;True;;;;;;;
263;Cipar;Cyprus;Republika Cipar;Republic of Cyprus (the);196;;True;;;;;;;
264;Côte d’Ivoire;Côte d’Ivoire;Republika Côte d’Ivoire;Republic of Côte d’Ivoire (the);384;;True;;;;;;;
265;Čad;Chad;Republika Čad;Republic of Chad (the);148;;True;;;;;;;
266;Češka Republika;Czech Republic (the);Češka Republika;Czech Republic (the);203;;True;;;;;;;
267;Čile;Chile;Republika Čile;Republic of Chile (the);152;;True;;;;;;;
268;Danska;Denmark;Kraljevina Danska;Kingdom of Denmark (the);208;;True;;;;;;;
269;Demokratska Narodna Republika Koreja;Democratic People’s Republic of Korea (the);Demokratska NarodnaRepublika Koreja;Democratic People’s Republic of Korea (the);408;;True;;;;;;;
270;Demokratska Republika Kongo;Democratic Republic of the Congo (the);Demokratska Republika Kongo;Democratic Republic of the Congo (the);180;;True;;;;;;;
271;Dominika;Dominica;Zajednica Dominike;Commonwealth of Dominica (the);212;;True;;;;;;;
272;Dominikanska Republika;Dominican Republic (the);Dominikanska Republika;Dominican Republic (the);214;;True;;;;;;;
273;Džibuti;Djibouti;Republika Džibuti;Republic of Djibouti (the);262;;True;;;;;;;
274;Egipat;Egypt;Arapska Republika Egipat;Arab Republic of Egypt (the);818;;True;;;;;;;
275;Ekvador;Ecuador;Republika Ekvador;Republic of Ecuador (the);218;;True;;;;;;;
276;Ekvatorska Gvineja;Equatorial Guinea;Republika Ekvatorska Gvineja;Republic of Equatorial Guinea (the);226;;True;;;;;;;
277;El Salvador;El Salvador;Republika El Salvador;Republic of El Salvador (the);222;;True;;;;;;;
278;Eritreja;Eritrea;Eritreja;Eritrea;232;;True;;;;;;;
279;Estonija;Estonia;Republika Estonija;Republic of Estonia (the);233;;True;;;;;;;
280;Etiopija;Ethiopia;Savezna Demokratska Republika Etiopija;Federal Democratic Republic of Ethiopia (the);231;;True;;;;;;;
281;Fidži;Fiji;Republika Fidži;Republic of Fiji (the);242;;True;;;;;;;
282;Filipini;Philippines (the);Republika Filipini;Republic of the Philippines (the);608;;True;;;;;;;
283;Finska;Finland;Republika Finska;Republic of Finland (the);246;;True;;;;;;;
284;Francuska;France;Francuska Republika;French Republic (the);250;;True;;;;;;;
285;Gabon;Gabon;Gabonska Republika;Gabonese Republic (the);266;;True;;;;;;;
286;Gambija;Gambia (the);Republika Gambija;Republic of the Gambia (the);270;;True;;;;;;;
287;Gana;Ghana (the);Republika Gana;Republic of Ghana;288;;True;;;;;;;
288;Grčka;Greece;Helenska Republika;Hellenic Republic (the);300;;True;;;;;;;
289;Grenada;Grenada;Grenada;Grenada;308;;True;;;;;;;
290;Gruzija;Georgia;Republika Gruzija;Republic of Georgia (the);268;;True;;;;;;;
291;Gvajana;Guyana;Republika Gvajana;Republic of Guyana (the);328;;True;;;;;;;
292;Gvatemala;Guatemala;Republika Gvatemala;Republic of Guatemala (the);320;;True;;;;;;;
293;Gvineja;Guinea;Republika Gvineja;Republic of Guinea (the);324;;True;;;;;;;
294;Gvineja Bisau;Guinea-Bissau;Republika Gvineja Bisau;Republic of Guinea-Bissau (the);624;;True;;;;;;;
295;Haiti;Haiti;Republika Haiti;Republic of Haiti (the);332;;True;;;;;;;
296;Honduras;Honduras;Republika Honduras;Republic of Honduras (the);340;;True;;;;;;;
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2781;Begovača;43233;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2782;Berek;43232;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2783;Gornja Garešnica;43233;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2784;Kostanjevac;43233;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2785;Krivaja;43232;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2786;Novo Selo Garešničko;43233;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2787;Oštri Zid;43233;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2788;Podgarić;43233;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2789;Potok;43232;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2790;Ruškovac;43232;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2791;Šimljana;43232;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2792;Šimljanica;43232;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2793;Šimljanik;43233;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2794;Bjelovar;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2795;Breza;43252;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2796;Brezovac;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2797;Ciglena;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2798;Galovac;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2811;Gornje Plavnice          ;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2799;Gornji Tomaš;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2800;Gudovac;43251;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2801;Klokočevac;43211;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2802;Kokinac;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2803;Kupinovac;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2804;Letičani;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2805;Mala Ciglena;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;7460;Mala Prespa;43000;;False
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2806;Malo Korenovo;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2807;Novi Pavljani;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2808;Novoseljani;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2809;Obrovnica;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2810;Patkovac;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2813;Prespa;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2814;Prgomelje;43252;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2815;Prokljuvani;43000;;True
297;Hrvatska;Croatia;Republika Hrvatska;Republic of Croatia (the);191;;True;1;BJELOVARSKO-BILOGORSKA;;True;2816;Puričani;43000;;True
