1;Albanci;2006-04-19;
2;Bošnjaci;2006-04-19;
3;Crnogorci;2006-04-19;
4;Česi;2006-04-19;
5;Mađari;2006-04-19;
6;Makedonci;2006-04-19;
7;Nijemci;2006-04-19;
8;Romi;2006-04-19;
9;Rusini;2006-04-19;
10;Slovaci;2006-04-19;
11;Slovenci;2006-04-19;
12;Srbi;2006-04-19;
13;Talijani;2006-04-19;
14;Ukrajinci;2006-04-19;
16;Rumunji;2007-11-05;
19;Židovi;2009-05-12;
20;Turci;2009-05-12;
21;Austrijanci;2009-09-01;
22;Bugari;2009-09-01;
23;Poljaci;2009-09-01;
24;Rusi;2009-09-01;
25;Vlasi;2009-09-01;
